city,lat,lng
Jampur,29.6384224,70.5772492
Muzaffargarh,30.0743097,71.1906224
Ghotki ,27.9940699,69.3134173
Chakwal,32.932827,72.8629763
Karachi,24.8546842,67.0207055
Khairpur Mirs,27.2894214,68.4591123
Tando Adam,25.7607497,68.6621855
Orakzai,33.6945197,70.8706089
Swabi,34.1262144,72.4743164
Mianwali,32.5793897,71.5353168
Peshawar,34.0123846,71.5787458
Dera Allahyar,28.3745,68.3488
Vehari,30.044927,72.3500952
Chitral,35.850889,71.7901897
Pano Aakil,27.8554,69.1053
"Hyderabad, Pakistan",25.3868287,68.3714971
Swat,34.3192278,71.5902939
Fazilpur,29.2931,70.4521
Jarwar,27.9162,69.5187
Noshehro Feroz,26.841,68.1192
Rawalpindi,33.5915446,73.053721
Jhor,32.7657158,71.8043818
Umerkot,25.3655302,69.7401257
Multan,30.197838,71.4719683
Khipro,27.9282686,68.340389
Matli,25.0374238,68.6541303
Khanewal,30.2864,71.932
Mominabad,24.9289,66.9914
Udero Lal,25.7011,68.5616
Khairpur,27.5204873,68.7383149
Sanghar,26.0470447,68.9492402
Golarchi,24.6503706,68.5332716
Rahilanwali,31.03359,73.13268
tando jam,25.4245266,68.5296162
abbotabad,34.1436136,73.2132747
Loralai,30.366865,68.6000654
Shikarpur,27.957,68.638
Jamshoro,25.433918,68.2816926
Malir,24.8773046,67.1902424
Taunsa Sharif,30.7025894,70.6511275
Dera Ghazi Khan,30.0321374,70.6401114
Tandliawala,31.0368,73.1379
Mir Pur mathelo,28.0167,69.5333
Madyan,35.1412913,72.5374404
Kunri,25.1797,69.5619
Tharushah,26.9088032,68.1907739
"Piplan, mianwali",32.2923004,71.3687782
